1184647,PDT001048800.1,2021-05-28T05:27:31Z,SAMN19370127,GCA_018576225.1
1194842,PDT001066716.1,2021-06-11T06:24:10Z,SAMN19658359,GCA_018839415.1
1241564,PDT001082000.1,2021-07-05T05:30:28Z,SAMN20057374,GCA_019112445.1
704748,PDT000479197.1,2019-03-18T14:59:29Z,SAMN11155084,GCA_012250085.1
702842,PDT001104543.1,2021-08-08T05:31:23Z,SAMN20606711,GCA_019468915.1
728850,PDT000496080.1,2019-04-27T05:56:39Z,SAMN11518905,GCA_012338355.1
678068,PDT001104563.1,2021-08-08T05:31:30Z,SAMN20606792,GCA_019471025.1
786617,PDT001104056.1,2021-08-07T19:31:12Z,SAMN20603269,GCA_019476865.1
728770,PDT000496089.2,2019-04-27T05:56:41Z,SAMN11518883,GCA_011953385.1
745898,PDT001104532.1,2021-08-08T05:31:19Z,SAMN20606807,GCA_019470025.1
686653,PDT001104424.1,2021-08-08T05:30:45Z,SAMN20606667,GCA_019472325.1
777442,PDT000549596.2,2019-07-26T05:31:31Z,SAMN12364524,GCA_011897885.1
783218,PDT001103907.1,2021-08-07T19:30:16Z,SAMN20603038,GCA_019479365.1
1166563,PDT001102733.1,2021-08-07T16:28:38Z,SAMN20550517,GCA_019536715.1
899051,PDT000854918.1,2020-10-05T05:29:50Z,SAMN16364151,GCA_015123655.1
712262,PDT001105334.1,2021-08-09T19:59:39Z,SAMN20665793,GCA_019491045.1
617616,PDT001105741.1,2021-08-09T20:02:05Z,SAMN20665751,GCA_019497065.1
633511,PDT001105782.1,2021-08-09T20:02:19Z,SAMN20665699,GCA_019508065.1
741045,PDT000503123.2,2019-05-18T04:49:23Z,SAMN11674893,GCA_011943125.1
741740,PDT001105322.1,2021-08-09T19:59:35Z,SAMN20665782,GCA_019492545.1
899059,PDT000854879.1,2020-10-05T05:29:39Z,SAMN16364105,GCA_015134495.1
712265,PDT001105344.1,2021-08-09T19:59:42Z,SAMN20665800,GCA_019490905.1
661087,PDT001105562.1,2021-08-09T20:01:06Z,SAMN20665764,GCA_019512505.1
621719,PDT000391619.1,2018-10-16T04:45:13Z,SAMN10244183,GCA_012079715.1
632392,PDT001105484.1,2021-08-09T20:00:38Z,SAMN20665819,GCA_019488985.1
401602,PDT000322980.1,2018-06-03T05:00:45Z,SAMN09298344,GCA_014413605.1
488643,PDT001107101.1,2021-08-11T05:22:38Z,SAMN20698552,GCA_019556935.1
462642,PDT001107196.1,2021-08-11T05:23:03Z,SAMN20698835,GCA_019547975.1
492567,PDT000324172.2,2018-06-06T05:59:05Z,SAMN09372455,GCA_020339375.1
503398,PDT001107269.1,2021-08-11T05:23:22Z,SAMN20700378,GCA_019547695.1
565168,PDT000341794.2,2018-07-06T05:57:04Z,SAMN09606992,GCA_012155645.1
568446,PDT001107111.1,2021-08-11T05:22:40Z,SAMN20698477,GCA_019548875.1
603253,PDT001107142.1,2021-08-11T05:22:48Z,SAMN20698638,GCA_019548175.1
603252,PDT001107209.1,2021-08-11T05:23:06Z,SAMN20698852,GCA_019547855.1
419111,PDT000319250.1,2018-05-25T08:34:38Z,SAMN09257716,GCA_014422085.1
503150,PDT001107035.1,2021-08-11T05:22:19Z,SAMN20698405,GCA_019548935.1
553878,PDT001107141.1,2021-08-11T05:22:48Z,SAMN20698622,GCA_019548115.1
555460,PDT001107291.1,2021-08-11T05:23:28Z,SAMN20700359,GCA_019548815.1
462643,PDT001107166.1,2021-08-11T05:22:55Z,SAMN20698679,GCA_019553265.1
488638,PDT001107244.1,2021-08-11T05:23:15Z,SAMN20700335,GCA_019547735.1
488719,PDT001108194.1,2021-08-12T05:32:40Z,SAMN20712983,GCA_019573535.1
405931,PDT001108249.1,2021-08-12T05:32:57Z,SAMN20713157,GCA_019572535.1
400295,PDT001108255.1,2021-08-12T05:32:58Z,SAMN20713153,GCA_019574275.1
369863,PDT001108224.1,2021-08-12T05:32:50Z,SAMN20713148,GCA_019572675.1
335049,PDT001108143.1,2021-08-12T05:32:27Z,SAMN20713019,GCA_019574875.1
385751,PDT001108243.1,2021-08-12T05:32:55Z,SAMN20713150,GCA_019572655.1
376197,PDT001108082.1,2021-08-12T05:32:09Z,SAMN20713090,GCA_019575735.1
977932,PDT000824009.1,2020-08-29T05:16:20Z,SAMN15925372,GCA_014355775.1
421572,PDT001108155.1,2021-08-12T05:32:30Z,SAMN20713105,GCA_019573565.1
1324277,PDT001111155.1,2021-08-19T05:26:09Z,SAMN20849383,GCA_019692115.1
1078088,PDT000945501.1,2021-02-01T06:22:47Z,SAMN17715057,GCA_017180875.1
1324217,PDT001111154.1,2021-08-19T05:26:09Z,SAMN20849368,GCA_019691955.1
1276972,PDT001098924.1,2021-07-30T06:31:32Z,SAMN20490128,GCA_019404055.1
1323650,PDT001110775.1,2021-08-18T08:22:53Z,SAMN20797312,GCA_019668005.1
399915,PDT000316843.2,2018-05-21T22:30:02Z,SAMN09227617,GCA_004157175.2
1427887,PDT001127207.1,2021-09-11T04:38:44Z,SAMN21386842,GCA_019937915.1
1341691,PDT001127017.1,2021-09-11T04:37:51Z,SAMN21386963,GCA_019941255.1
1323890,PDT001127051.1,2021-09-11T04:38:00Z,SAMN21386902,GCA_019940895.1
311149,PDT000156718.3,2016-11-05T00:19:21Z,SAMN05980403,GCA_012568305.1
1341692,PDT001127143.1,2021-09-11T04:38:25Z,SAMN21386788,GCA_019939155.1
1365743,PDT001127187.1,2021-09-11T04:38:38Z,SAMN21386900,GCA_019938155.1
1324225,PDT001111146.1,2021-08-19T05:26:06Z,SAMN20849370,GCA_019692515.1
1351442,PDT001127178.1,2021-09-11T04:38:35Z,SAMN21386743,GCA_019938955.1
1371682,PDT001127117.1,2021-09-11T04:38:18Z,SAMN21386728,GCA_019939795.1
1375646,PDT001126968.1,2021-09-11T04:37:37Z,SAMN21386840,GCA_019942075.1
1383384,PDT001127009.1,2021-09-11T04:37:48Z,SAMN21386706,GCA_019941475.1
1469938,PDT001138852.1,2021-09-28T19:31:29Z,SAMN21845681,GCA_020181215.1
1489819,PDT001148935.1,2021-10-12T05:23:04Z,SAMN22214601,GCA_020463065.1
846515,PDT000638589.2,2019-12-02T15:27:29Z,SAMN13440787,GCA_011821165.1
1502198,PDT001164167.1,2021-10-29T05:30:56Z,SAMN22657061,GCA_020679025.1
1512031,PDT001163672.1,2021-10-28T05:28:38Z,SAMN22605386,GCA_020660105.1
1527813,PDT001174760.1,2021-11-15T05:32:29Z,SAMN23134798,GCA_020876795.1
1529362,PDT001174850.1,2021-11-15T05:32:53Z,SAMN23135611,GCA_020876295.1
1502203,PDT001164201.1,2021-10-29T05:31:08Z,SAMN22657186,GCA_020681065.1
1525884,PDT001174789.1,2021-11-15T05:32:37Z,SAMN23134824,GCA_020876635.1
1519678,PDT001171412.1,2021-11-08T06:26:40Z,SAMN22962693,GCA_020787815.1
1525875,PDT001174787.1,2021-11-15T05:32:36Z,SAMN23134823,GCA_020874395.1
1519677,PDT001171394.1,2021-11-08T06:26:35Z,SAMN22962671,GCA_020788135.1
